Tenor,OIS,ON,DF,L,Fwd_L,L_DF
0.5,0.0025,0.002496889,0.998752339,0.025,0.025,0.987654321
1,0.003,0.002995521,0.997008973,0.028,0.031005246,0.972576829
1.5,,0.003327113,0.995021786,,0.031751895,0.957377553
2,0.00325,0.003494903,0.993034599,0.03,0.032264119,0.942178277
2.5,,0.003524213,0.99122821,,0.034219486,0.926329026
3,0.00335,0.003544859,0.989421822,0.0315,0.034815164,0.910479774
3.5,,0.003773281,0.986880408,,0.03521068,0.894727788
4,0.0035,0.003946255,0.984338994,0.0325,0.035841685,0.878975801
4.5,,0.003973628,0.982277694,,0.034715545,0.863979049
5,0.0036,0.003996407,0.980216394,0.033,0.035328774,0.848982297
5.5,,0.004400189,0.976089602,,0.038916777,0.832777784
6,,0.004739654,0.971962811,,0.039689062,0.81657327
6.5,,0.005029667,0.967836019,,0.040492619,0.800368756
7,0.004,0.005280847,0.963709228,0.035,0.041329387,0.784164243
7.5,,0.005404744,0.960275287,,0.039707805,0.768898605
8,,0.005514753,0.956841346,,0.040512129,0.753632967
8.5,,0.005613334,0.953407406,,0.041349711,0.738367329
9,,0.005702404,0.949973465,,0.042222659,0.723101691
9.5,,0.005783473,0.946539524,,0.043133259,0.707836053
10,0.0045,0.005857751,0.943105583,0.037,0.044084003,0.692570415
10.5,,0.005892644,0.940002958,,0.041799483,0.678392193
11,,0.005925355,0.936900333,,0.042691729,0.664213972
11.5,,0.005956175,0.933797708,,0.043622897,0.650035751
12,,0.005985347,0.930695083,,0.044595592,0.635857529
12.5,,0.006013075,0.927592458,,0.045612653,0.621679308
13,,0.00603953,0.924489832,,0.046677188,0.607501087
13.5,,0.006064859,0.921387207,,0.047792601,0.593322865
14,,0.00608919,0.918284582,,0.048962626,0.579144644
14.5,,0.006112629,0.915181957,,0.050191377,0.564966423
15,0.005,0.006135273,0.91207933,0.04,0.051483388,0.550788201
15.5,,0.006113015,0.909599465,,0.053310555,0.536487966
16,,0.006092612,0.9071196,,0.054770477,0.52218773
16.5,,0.0060739,0.904639735,,0.056312612,0.507887495
17,,0.00605673,0.90215987,,0.057944103,0.493587259
17.5,,0.006040972,0.899680004,,0.059672951,0.479287023
18,,0.006026513,0.897200139,,0.061508137,0.464986788
18.5,,0.006013248,0.894720274,,0.063459784,0.450686552
19,,0.006001085,0.892240409,,0.06553934,0.436386316
19.5,,0.005989942,0.889760544,,0.067759807,0.422086081
20,0.00525,0.005979745,0.887280679,0.045,0.070136008,0.407785845
20.5,,0.005982958,0.884573552,,0.046294211,0.398560327
21,,0.005986463,0.881866425,,0.047391179,0.38933481
21.5,,0.005990244,0.879159298,,0.048541396,0.380109292
22,,0.005994284,0.876452171,,0.049748835,0.370883774
22.5,,0.005998568,0.873745044,,0.051017875,0.361658256
23,,0.006003084,0.871037917,,0.052353353,0.352432738
23.5,,0.006007818,0.86833079,,0.053760628,0.34320722
24,,0.00601276,0.865623664,,0.055245648,0.333981702
24.5,,0.0060179,0.862916537,,0.05681504,0.324756185
25,,0.006023227,0.86020941,,0.058476204,0.315530667
25.5,,0.006028734,0.857502283,,0.060237432,0.306305149
26,,0.006034413,0.854795156,,0.062108047,0.297079631
26.5,,0.006040256,0.852088029,,0.064098565,0.287854113
27,,0.006046256,0.849380902,,0.066220898,0.278628595
27.5,,0.006052408,0.846673776,,0.068488586,0.269403077
28,,0.006058705,0.843966649,,0.070917091,0.26017756
28.5,,0.006065142,0.841259522,,0.073524151,0.250952042
29,,0.006071714,0.838552395,,0.076330207,0.241726524
29.5,,0.006078416,0.835845268,,0.07935895,0.232501006
30,0.0055,0.006085245,0.833138141,0.05,0.082637982,0.223275488
